,Words,TF,IDF,TF-IDF
232,reading,1.0,2.995732273553991,2.995732273553991
233,bad,2.0,2.302585092994046,4.605170185988092
234,spoke,2.0,2.302585092994046,4.605170185988092
235,applied,2.0,2.302585092994046,4.605170185988092
236,brick,2.0,2.302585092994046,4.605170185988092
237,discuss,1.0,2.995732273553991,2.995732273553991
238,whole,2.0,2.302585092994046,4.605170185988092
239,street,1.0,2.995732273553991,2.995732273553991
240,genetic,2.0,2.302585092994046,4.605170185988092
241,ryanair,1.0,2.995732273553991,2.995732273553991
242,seem,1.0,2.995732273553991,2.995732273553991
243,chat,1.0,2.995732273553991,2.995732273553991
244,repeated,1.0,2.995732273553991,2.995732273553991
245,closing,2.0,2.302585092994046,4.605170185988092
246,wall,2.0,2.302585092994046,4.605170185988092
247,resorted,1.0,2.995732273553991,2.995732273553991
248,banging,2.0,2.302585092994046,4.605170185988092
249,bank,1.0,2.302585092994046,2.302585092994046
250,enough,1.0,2.995732273553991,2.995732273553991
251,showing,1.0,2.995732273553991,2.995732273553991
252,advertise,1.0,2.995732273553991,2.995732273553991
253,pick,1.0,2.995732273553991,2.995732273553991
254,email,4.0,1.6094379124341003,6.437751649736401
255,knew,1.0,2.995732273553991,2.995732273553991
256,noise,1.0,2.995732273553991,2.995732273553991
257,multiple,1.0,2.995732273553991,2.995732273553991
258,treating,1.0,2.995732273553991,2.995732273553991
259,unload,1.0,2.995732273553991,2.995732273553991
260,expect,1.0,2.995732273553991,2.995732273553991
261,correspondence,2.0,2.302585092994046,4.605170185988092
262,advising,2.0,2.302585092994046,4.605170185988092
263,protection,1.0,2.995732273553991,2.995732273553991
264,benefit,1.0,2.995732273553991,2.995732273553991
265,better,1.0,2.995732273553991,2.995732273553991
266,system,1.0,2.995732273553991,2.995732273553991
267,insufficient,1.0,2.995732273553991,2.995732273553991
268,delete,1.0,2.995732273553991,2.995732273553991
269,bill,6.0,2.995732273553991,17.974393641323946
270,send,5.0,2.302585092994046,11.51292546497023
271,dam,2.0,2.302585092994046,4.605170185988092
272,called,5.0,2.302585092994046,11.51292546497023
273,handling,2.0,2.995732273553991,5.991464547107982
274,recommend,2.0,2.302585092994046,4.605170185988092
275,today,2.0,2.302585092994046,4.605170185988092
276,still,2.0,2.302585092994046,4.605170185988092
277,last,1.0,2.995732273553991,2.995732273553991
278,ruin,1.0,2.995732273553991,2.995732273553991
279,reallyjust,1.0,2.995732273553991,2.995732273553991
280,passed,2.0,2.302585092994046,4.605170185988092
281,creditwould,1.0,2.995732273553991,2.995732273553991
282,later,1.0,2.995732273553991,2.995732273553991
283,definitely,1.0,2.995732273553991,2.995732273553991
284,review,6.0,2.302585092994046,13.815510557964275
285,always,2.0,2.302585092994046,4.605170185988092
286,and,1.0,1.6094379124341003,1.6094379124341003
287,husband,1.0,2.995732273553991,2.995732273553991
288,yet,1.0,2.995732273553991,2.995732273553991
289,helpful,2.0,2.995732273553991,5.991464547107982
290,lender,3.0,2.302585092994046,6.907755278982138
291,go,3.0,1.0498221244986776,3.1494663734960326
292,amazed,1.0,2.995732273553991,2.995732273553991
293,receive,1.0,1.6094379124341003,1.6094379124341003
294,reducing,1.0,2.995732273553991,2.995732273553991
295,difficult,1.0,2.995732273553991,2.995732273553991
296,missed,1.0,2.995732273553991,2.995732273553991
297,helping,1.0,2.995732273553991,2.995732273553991
298,barclaycard,1.0,2.995732273553991,2.995732273553991
299,200,1.0,2.302585092994046,2.302585092994046
300,good,2.0,2.302585092994046,4.605170185988092
301,annoyed,1.0,2.995732273553991,2.995732273553991
302,brilliant,1.0,2.995732273553991,2.995732273553991
303,674200,1.0,2.995732273553991,2.995732273553991
304,show,1.0,2.302585092994046,2.302585092994046
305,loan,1.0,2.995732273553991,2.995732273553991
306,6,3.0,1.8971199848858813,5.691359954657644
307,experienced,1.0,2.995732273553991,2.995732273553991
308,runaround,1.0,2.995732273553991,2.995732273553991
309,nothing,1.0,2.995732273553991,2.995732273553991
310,30,2.0,2.302585092994046,4.605170185988092
311,gave,1.0,2.995732273553991,2.995732273553991
312,worst,2.0,2.302585092994046,4.605170185988092
313,understand,2.0,2.995732273553991,5.991464547107982
314,decision,1.0,2.995732273553991,2.995732273553991
315,will,1.0,2.995732273553991,2.995732273553991
316,york,1.0,2.995732273553991,2.995732273553991
317,planet,1.0,2.995732273553991,2.995732273553991
318,translator,1.0,2.995732273553991,2.995732273553991
319,word,1.0,2.995732273553991,2.995732273553991
320,probably,1.0,2.995732273553991,2.995732273553991
321,saying,1.0,2.995732273553991,2.995732273553991
322,behind,1.0,2.995732273553991,2.995732273553991
323,governor,1.0,2.995732273553991,2.995732273553991
324,nasty,1.0,2.995732273553991,2.995732273553991
325,you,1.0,2.302585092994046,2.302585092994046
326,screwing,1.0,2.995732273553991,2.995732273553991
327,truth,1.0,2.995732273553991,2.995732273553991
328,worldwide,1.0,2.995732273553991,2.995732273553991
329,philippine,1.0,2.995732273553991,2.995732273553991
330,guess,1.0,2.995732273553991,2.995732273553991
331,need,3.0,1.8971199848858813,5.691359954657644
332,else,1.0,2.995732273553991,2.995732273553991
333,guy,1.0,2.995732273553991,2.995732273553991
334,the,1.0,0.7985076962177716,0.7985076962177716
335,using,2.0,2.302585092994046,4.605170185988092
336,relation,2.0,2.995732273553991,5.991464547107982
337,keep,3.0,2.302585092994046,6.907755278982138
338,charge,7.0,2.302585092994046,16.11809565095832
339,repeating,1.0,2.995732273553991,2.995732273553991
340,sending,1.0,2.995732273553991,2.995732273553991
341,hour,1.0,2.995732273553991,2.995732273553991
342,mattertheir,1.0,2.995732273553991,2.995732273553991
343,agent,1.0,2.995732273553991,2.995732273553991
344,your,1.0,2.995732273553991,2.995732273553991
345,persistent,1.0,2.995732273553991,2.995732273553991
346,situation,2.0,1.8971199848858813,3.7942399697717626
347,complaint,1.0,2.995732273553991,2.995732273553991
348,disputed,1.0,2.995732273553991,2.995732273553991
349,complying,1.0,2.995732273553991,2.995732273553991
350,terrible,1.0,2.995732273553991,2.995732273553991
351,calling,1.0,2.995732273553991,2.995732273553991
352,worse,1.0,2.995732273553991,2.995732273553991
353,though,1.0,2.995732273553991,2.995732273553991
354,spent,1.0,2.995732273553991,2.995732273553991
355,context,1.0,2.995732273553991,2.995732273553991
356,evidence,1.0,2.995732273553991,2.995732273553991
357,promise,1.0,2.995732273553991,2.995732273553991
358,investigate,1.0,2.995732273553991,2.995732273553991
359,balance,4.0,2.302585092994046,9.210340371976184
360,revolving,2.0,2.995732273553991,5.991464547107982
361,five,1.0,2.995732273553991,2.995732273553991
362,standing,1.0,2.302585092994046,2.302585092994046
363,someone,1.0,2.995732273553991,2.995732273553991
364,wake,1.0,2.995732273553991,2.995732273553991
365,damaging,1.0,2.995732273553991,2.995732273553991
366,fought,1.0,2.995732273553991,2.995732273553991
367,close,2.0,1.6094379124341003,3.2188758248682006
368,impact,1.0,2.995732273553991,2.995732273553991
369,mixed,1.0,2.995732273553991,2.995732273553991
370,lend,1.0,2.302585092994046,2.302585092994046
371,thank,1.0,2.302585092994046,2.302585092994046
372,apply,1.0,2.995732273553991,2.995732273553991
373,face,1.0,2.995732273553991,2.995732273553991
374,250,1.0,2.995732273553991,2.995732273553991
375,skymlles,1.0,2.995732273553991,2.995732273553991
376,star,1.0,2.995732273553991,2.995732273553991
377,stolen,1.0,2.995732273553991,2.995732273553991
378,reduced,2.0,2.995732273553991,5.991464547107982
379,sort,2.0,2.302585092994046,4.605170185988092
380,anaemic,3.0,2.302585092994046,6.907755278982138
381,possible,1.0,2.995732273553991,2.995732273553991
382,pretending,1.0,2.995732273553991,2.995732273553991
383,disgusting,1.0,2.995732273553991,2.995732273553991
384,saving,1.0,2.995732273553991,2.995732273553991
385,wish,1.0,2.995732273553991,2.995732273553991
386,concern,1.0,2.995732273553991,2.995732273553991
387,its,1.0,2.302585092994046,2.302585092994046
388,hope,2.0,2.302585092994046,4.605170185988092
389,assist,1.0,2.995732273553991,2.995732273553991
390,move,1.0,2.995732273553991,2.995732273553991
391,write,1.0,2.995732273553991,2.995732273553991
392,u,1.0,0.0,0.0
393,cash,1.0,2.995732273553991,2.995732273553991
394,burst,1.0,2.995732273553991,2.995732273553991
395,bless,1.0,2.995732273553991,2.995732273553991
396,bankrupt,1.0,2.995732273553991,2.995732273553991
397,relief,1.0,2.995732273553991,2.995732273553991
398,pandemici,1.0,2.995732273553991,2.995732273553991
399,appalling,1.0,2.995732273553991,2.995732273553991
400,day,1.0,1.6094379124341003,1.6094379124341003
